"TRAFFIC_PARTICIPATION","AGE_GROUP","INJURY_TYPE","COUNTRY","UNIT","DATA_TYPE","TIME_FORMAT","obsTime","obsValue","OBS_STATUS","INJURY_TYPE_label","AGE_GROUP_label","TRAFFIC_PARTICIPATION_label"
"1010","240","740","GBR","NUMBER","CORRECTED","P1Y","2006",1657,"f","Killed","25-64 Years","Total"
"1010","240","740","GBR","NUMBER","CORRECTED","P1Y","2007",1549,"f","Killed","25-64 Years","Total"
"1010","240","740","GBR","NUMBER","CORRECTED","P1Y","2008",1333,"f","Killed","25-64 Years","Total"
"1010","140","740","CHE","NUMBER","CORRECTED","P1Y","2012",25,NA,"Killed","10-14 Years","Total"
"1010","190","740","PRT","NUMBER","CORRECTED","P1Y","2007",59,"f","Killed","18-20 Years","Total"
"1010","110","740","ITA","NUMBER","CORRECTED","P1Y","2011",3860,NA,"Killed","Total","Total"
"1010","140","740","CHE","NUMBER","CORRECTED","P1Y","2015",1,NA,"Killed","10-14 Years","Total"
"1010","110","740","HUN","NUMBER","CORRECTED","P1Y","2006",1303,NA,"Killed","Total","Total"
"1010","110","740","DEU","NUMBER","CORRECTED","P1Y","2010",3648,NA,"Killed","Total","Total"
"1010","120","740","BEL","NUMBER","CORRECTED","P1Y","2008",13,NA,"Killed","00-05 Years","Total"
"1010","310","740","IRL","NUMBER","CORRECTED","P1Y","2009",26,NA,"Killed","65 Years and more","Total"
"1010","310","740","CAN","NUMBER","CORRECTED","P1Y","2008",425,NA,"Killed","65 Years and more","Total"
"1010","240","740","BEL","NUMBER","CORRECTED","P1Y","2010",467,NA,"Killed","25-64 Years","Total"
"1010","110","740","IRL","NUMBER","CORRECTED","P1Y","2015",162,"p","Killed","Total","Total"
"1010","310","740","CAN","NUMBER","CORRECTED","P1Y","2010",426,NA,"Killed","65 Years and more","Total"
"1010","230","740","KOR","NUMBER","CORRECTED","P1Y","2011",200,NA,"Killed","21-24 Years","Total"
"1010","140","740","DEU","NUMBER","CORRECTED","P1Y","2007",52,NA,"Killed","10-14 Years","Total"
"1010","150","740","GBR-NIR","NUMBER","CORRECTED","P1Y","2009",5,"f","Killed","15-17 Years","Total"
"1010","110","740","BEL","NUMBER","CORRECTED","P1Y","2005",1089,NA,"Killed","Total","Total"
"1010","370","740","ESP","NUMBER","CORRECTED","P1Y","2014",18,NA,"Killed","Unknown Age","Total"
"1010","110","740","ITA","NUMBER","CORRECTED","P1Y","2010",4114,NA,"Killed","Total","Total"
"1010","140","740","POL","NUMBER","CORRECTED","P1Y","2008",69,"f","Killed","10-14 Years","Total"
"1010","140","740","ISR","NUMBER","CORRECTED","P1Y","2011",7,NA,"Killed","10-14 Years","Total"
"1010","240","740","NZL","NUMBER","CORRECTED","P1Y","2006",188,"f","Killed","25-64 Years","Total"
"1010","120","740","GBR-NIR","NUMBER","CORRECTED","P1Y","2011",1,NA,"Killed","00-05 Years","Total"
"1010","240","740","NZL","NUMBER","CORRECTED","P1Y","2008",171,"f","Killed","25-64 Years","Total"
"1010","240","740","NZL","NUMBER","CORRECTED","P1Y","2009",198,"f","Killed","25-64 Years","Total"
"1010","240","740","NZL","NUMBER","CORRECTED","P1Y","2010",175,"f","Killed","25-64 Years","Total"
"1010","230","740","ISR","NUMBER","CORRECTED","P1Y","2007",52,NA,"Killed","21-24 Years","Total"
"1010","140","740","NLD","NUMBER","CORRECTED","P1Y","2011",11,NA,"Killed","10-14 Years","Total"
"1010","140","740","NLD","NUMBER","CORRECTED","P1Y","2012",12,NA,"Killed","10-14 Years","Total"
"1010","240","740","NZL","NUMBER","CORRECTED","P1Y","2014",153,NA,"Killed","25-64 Years","Total"
"1010","110","740","AUT","NUMBER","CORRECTED","P1Y","2015",479,NA,"Killed","Total","Total"
"1010","240","740","ITA","NUMBER","CORRECTED","P1Y","2010",2218,NA,"Killed","25-64 Years","Total"
"1010","230","740","AUT","NUMBER","CORRECTED","P1Y","2008",74,NA,"Killed","21-24 Years","Total"
