"POWERCODE","SUBJECT","UNIT","LOCATION","SEX","FREQUENCY","TIME_FORMAT","REFERENCEPERIOD","obsTime","obsValue","OBS_STATUS","UNIT_label","SUBJECT_label","POWERCODE_label"
"3","YP99TTL1_ST","PER","EU28","TT","A","P1Y",NA,"1955",389072.6,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","NOR","MA","A","P1Y",NA,"2013",2552,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","EU28","TT","A","P1Y",NA,"1957",394372.6,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","EU28","TT","A","P1Y",NA,"1958",397529.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1953",1744.174,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1954",1779.49,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1955",1815.526,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1956",1847.245,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1957",1876.939,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1958",1905.577,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1959",1929.314,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1960",2000.837,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","EU28","TT","A","P1Y",NA,"1966",425250.5,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","SVK","MA","A","P1Y",NA,"1962",2096.317,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1955",60045,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1956",61861,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1957",63739,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1958",65675,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1959",67669,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1960",69717,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1961",71818,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1962",73969,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1963",76169,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1964",78414,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1971",52345.49,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1972",53944.99,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1973",55574.68,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1974",57232.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1975",58910.2,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1976",60600.77,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1977",62297.48,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1978",63994.56,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","MEX","TT","A","P1Y",NA,"1979",65689.27,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1955",4509.961,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1956",4538,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1957",4570.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1958",4604.1,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1959",4635.696,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1960",4665.611,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1980",118562.5,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1981",121381.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1982",124250.8,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1983",127140.4,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1984",130082.5,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1985",132999.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1986",135814.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1987",138585.9,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"1988",141313,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1970",4929.794,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1971",4939.897,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1972",4958.818,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1973",4974.553,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1974",4989.146,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1975",5002.012,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1976",5011.377,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1977",5019.096,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1978",5025.634,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1979",5032.039,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1980",5039.072,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1981",5042.047,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1982",5043.497,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1983",5044.19,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BEL","FE","A","P1Y",NA,"1984",5044.833,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"2004",183439.3,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"2005",185651.4,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"2006",187851.8,NA,"Persons","Population","Thousands"
"3","YP99TTL1_ST","PER","BRA","TT","A","P1Y",NA,"2007",189953.9,NA,"Persons","Population","Thousands"
